delinquentcreditlinescount,derogatoryreportscount,recentcreditinquirycount,debttoincomeratio,occupation_Other,occupation_Sales,occupation_Self,applyloanreason_HomeImp,occupation_Mgr,creditlinecount,currentpropertyvalue,applyloanreason_DebtCon,occupation_ProfExe,mortgageamountdue,yearsatpresentjob
0.4494423791821561,0.2545696877380046,1.1860550458715597,23.48111664,0,0,0,1,1,9.0,44849.0,0,0,73760.81719955898,6.0
10.0,0.2545696877380046,3.0,33.779915349235345,1,0,0,0,0,26.0,97800.0,1,0,76700.0,25.0
0.0,0.0,2.0,29.03823599,0,0,1,0,0,24.0,293901.0,1,0,192163.0,10.0
0.4494423791821561,0.2545696877380046,1.1860550458715597,29.99503841,1,0,0,0,0,34.0,84472.0,1,0,66126.0,2.0
1.0,0.0,1.0,33.779915349235345,0,0,0,0,0,34.0,109650.0,1,0,94650.0,3.5
0.0,0.0,0.0,24.20093583,0,1,0,0,0,23.0,78878.0,1,0,73760.81719955898,4.0
0.0,0.0,0.0,22.44794332,1,0,0,0,0,11.0,34777.0,1,0,14046.0,5.0
0.0,0.0,2.0,33.5811165,1,0,0,0,0,14.0,107590.0,1,0,79383.0,5.0
0.0,0.0,0.0,33.779915349235345,0,0,0,0,0,16.0,35300.0,0,0,15832.0,1.0
0.4494423791821561,0.2545696877380046,1.1860550458715597,36.76101419,0,0,0,1,0,21.29609620076682,143913.0,0,0,104752.0,8.922268135904508
0.0,0.0,2.0,30.95751627,0,0,0,0,0,13.0,107598.0,1,0,68830.0,10.0
0.0,0.0,1.0,33.779915349235345,1,0,0,0,0,17.0,180000.0,0,0,69742.61,11.0
0.0,0.0,0.0,7.862193632,1,0,0,0,0,10.0,83146.0,1,0,56745.0,11.0
0.4494423791821561,0.2545696877380046,0.0,36.76375267,1,0,0,0,0,7.0,81552.0,1,0,55912.0,6.0
0.0,0.0,3.0,33.779915349235345,1,0,0,0,0,14.0,159500.0,1,0,109000.0,8.922268135904508
1.0,0.2545696877380046,0.0,41.65904448,1,0,0,0,0,34.0,154409.0,1,0,82324.0,10.0
0.0,0.0,0.0,32.67435897,1,0,0,0,0,18.0,180104.0,1,0,120176.0,8.0
0.0,0.0,0.0,47.61976353,0,0,0,0,1,35.0,143433.0,1,0,117900.0,6.0
1.0,0.0,0.0,27.83750961,0,0,0,0,0,18.0,122531.0,1,1,87291.0,10.0
1.0,1.0,1.0,40.03139332,0,0,0,0,1,17.0,110485.0,1,0,60513.0,3.0
0.4494423791821561,0.2545696877380046,1.1860550458715597,33.779915349235345,0,0,0,0,0,21.29609620076682,89640.0,1,1,74225.0,0.3
0.0,2.0,0.0,43.40443024,0,1,0,1,0,23.0,69918.0,0,0,72147.0,4.0
0.0,0.0,4.0,37.4582804,0,0,0,1,0,21.0,143292.0,0,1,98856.0,13.0
0.0,0.0,1.0,33.779915349235345,1,0,0,1,0,5.0,34900.0,0,0,22320.0,10.0
0.0,0.0,0.0,36.516532500000004,0,0,0,1,0,20.0,98088.0,0,1,80300.0,1.0
0.0,0.0,1.0,41.74120105,0,0,0,0,0,32.0,233480.0,1,1,186185.0,0.0
0.4494423791821561,0.2545696877380046,1.1860550458715597,28.45701893,1,0,0,0,0,12.0,45167.0,1,0,73760.81719955898,8.922268135904508
0.0,0.0,0.0,19.5495717,0,0,0,1,0,19.0,58084.0,0,0,51855.0,21.0
2.0,0.0,1.0,33.779915349235345,0,0,0,0,1,50.0,200000.0,1,0,177000.0,3.0
0.4494423791821561,0.2545696877380046,1.1860550458715597,40.22228314,0,0,0,0,0,21.29609620076682,84250.0,1,1,73099.0,4.0
0.0,0.0,2.0,35.878988299999996,0,0,0,0,0,23.0,203815.0,1,1,136154.0,1.0
0.0,0.0,0.0,40.57402248,0,0,0,0,0,42.0,72200.0,1,1,46145.0,11.0
0.0,0.0,0.0,34.91379344,0,0,0,1,0,12.0,102739.0,0,1,63572.0,7.0
0.0,0.0,0.0,33.779915349235345,0,0,0,1,0,20.0,56400.0,0,0,47000.0,21.0
0.0,0.0,1.0,33.779915349235345,1,0,0,0,0,20.0,175450.0,1,0,120000.0,8.0
0.0,0.0,1.0,38.73864962,0,0,0,0,0,24.0,128814.0,1,0,78441.0,2.0
0.0,0.0,0.0,32.20081121,0,0,0,0,1,27.0,122693.0,1,0,73760.81719955898,9.0
0.0,0.0,0.0,18.30195947,0,0,0,0,0,16.0,48276.0,1,1,7839.0,4.0
0.0,0.0,0.0,34.72787519,1,0,0,0,0,9.0,68825.0,1,0,56793.0,3.0
0.0,1.0,0.0,24.35530425,1,0,0,1,0,7.0,84584.0,0,0,73760.81719955898,8.922268135904508
0.0,0.0,0.0,42.40363421,1,0,0,0,0,15.0,53200.0,1,0,41641.0,8.922268135904508
0.0,0.0,2.0,28.79791858,0,0,0,0,0,12.0,67964.0,1,1,46124.0,6.0
0.0,0.0,3.0,30.52615072,0,0,0,0,0,29.0,84689.0,1,0,51384.0,4.0
1.0,0.2545696877380046,1.1860550458715597,37.16904808,0,0,0,0,0,51.0,166781.0,1,0,124323.0,4.0
0.4494423791821561,0.2545696877380046,0.0,40.44657932,1,0,0,0,0,17.0,12737.0,1,0,59936.0,5.0
0.0,0.0,1.1860550458715597,19.58771055,0,0,1,1,0,8.0,203720.0,0,0,83650.0,11.0
0.0,0.0,0.0,27.52324614,1,0,0,1,0,46.0,88178.0,0,0,76074.0,22.0
0.0,0.0,3.0,32.13676623,1,0,0,0,0,25.0,86443.0,1,0,71979.0,2.0
0.0,0.0,0.0,40.42166884,1,0,0,0,0,12.0,58756.0,1,0,30517.0,8.922268135904508
0.4494423791821561,0.2545696877380046,1.1860550458715597,35.89056247,0,0,0,0,0,21.29609620076682,118505.0,0,0,82051.0,8.922268135904508
2.0,0.0,3.0,33.779915349235345,0,0,0,0,1,32.0,101776.04874145007,1,0,106000.0,0.8
0.0,0.0,0.0,33.779915349235345,1,0,0,0,0,18.0,50725.0,1,0,31170.0,16.0
0.0,1.0,0.0,33.779915349235345,0,0,0,0,0,20.0,94200.0,1,1,85704.0,2.0
1.0,0.0,2.0,30.63902291,0,0,0,0,0,16.0,44165.0,1,1,28694.0,20.0
0.0,0.0,1.0,30.18780539,0,0,0,0,1,13.0,46833.0,1,0,27791.0,3.0
0.0,0.0,1.0,33.779915349235345,1,0,0,0,0,16.0,32500.0,1,0,19894.0,4.0
0.0,0.0,0.0,26.52004952,0,0,0,1,0,27.0,117352.0,0,1,92659.0,6.0
0.0,0.2545696877380046,1.1860550458715597,36.43872408,0,0,0,0,0,52.0,167764.0,1,0,127967.0,1.0
2.0,2.0,3.0,33.779915349235345,1,0,0,0,0,31.0,101776.04874145007,0,0,73760.81719955898,15.0
0.0,0.0,6.0,33.779915349235345,0,0,0,0,0,23.0,12500.0,1,1,82000.0,3.0
0.0,0.0,0.0,39.92995455,0,0,0,0,0,19.0,80176.0,1,1,36438.0,10.0
0.0,1.0,3.0,33.779915349235345,0,0,0,0,1,5.0,101776.04874145007,1,0,42300.0,11.0
0.0,0.0,1.0,42.5730795,0,0,0,0,0,36.0,106943.0,1,1,88093.0,7.0
2.0,5.0,5.0,27.34759661,0,0,0,1,1,28.0,108606.0,0,0,90969.0,5.0
0.0,0.0,2.0,48.97773170000001,1,0,0,0,0,30.0,144076.0,1,0,125969.0,4.0
0.0,0.0,0.0,26.87672986,0,0,1,1,0,26.0,171350.0,0,0,19639.0,8.0
0.0,0.0,0.0,16.67867641,0,0,0,1,0,18.0,67256.0,0,0,5137.0,8.922268135904508
0.4494423791821561,0.2545696877380046,1.1860550458715597,23.88633081,0,0,0,1,1,9.0,50548.0,0,0,73760.81719955898,5.0
1.0,2.0,1.0,16.87198276,1,0,0,1,0,21.0,60599.0,0,0,8852.0,7.0
0.0,0.0,2.0,36.39536633,1,0,0,0,0,14.0,113766.0,1,0,74015.0,7.0
0.0,0.0,1.0,36.07127157,0,0,0,0,0,21.0,99320.0,1,0,62811.0,3.0
0.0,0.0,0.0,29.03757422,1,0,0,0,0,11.0,57507.0,1,0,45907.0,6.0
8.0,0.0,0.0,33.779915349235345,0,0,0,1,0,36.0,100000.0,0,1,60782.0,14.0
1.0,0.0,0.0,35.76333348,0,0,0,1,0,27.0,113913.0,0,1,82849.0,10.0
2.0,0.0,1.0,33.779915349235345,1,0,0,0,0,16.0,41900.0,1,0,9124.0,28.0
4.0,0.0,0.0,35.23139271,0,0,0,0,0,47.0,99997.0,1,0,51562.0,1.0
0.0,0.0,2.0,38.55297875,1,0,0,0,0,31.0,120859.0,1,0,75096.0,4.0
