isdefault,loanrequestamount,mortgageamountdue,currentpropertyvalue,yearsatpresentjob,derogatoryreportscount,delinquentcreditlinescount,oldestcreditlinemonthcount,recentcreditinquirycount,creditlinecount,debttoincomeratio,applyloanreason_DebtCon,applyloanreason_HomeImp,occupation_Mgr,occupation_Office,occupation_Other,occupation_ProfExe,occupation_Sales,occupation_Self
1,1100,25860.0,39025.0,10.5,0.0,0.0,94.36666667,1.0,9.0,33.779915349235345,0,1,0,0,1,0,0,0
1,1300,70053.0,68400.0,7.0,0.0,2.0,121.83333329999999,0.0,14.0,33.779915349235345,0,1,0,0,1,0,0,0
1,1500,13500.0,16700.0,4.0,0.0,0.0,149.4666667,1.0,10.0,33.779915349235345,0,1,0,0,1,0,0,0
1,1500,73760.81719955898,101776.04874145007,8.922268135904508,0.2545696877380046,0.4494423791821561,179.7662751900468,1.1860550458715597,21.29609620076682,33.779915349235345,0,0,0,0,0,0,0,0
0,1700,97800.0,112000.0,3.0,0.0,0.0,93.33333333,0.0,14.0,33.779915349235345,0,1,0,1,0,0,0,0
1,1700,30548.0,40320.0,9.0,0.0,0.0,101.46600190000001,1.0,8.0,37.11361356,0,1,0,0,1,0,0,0
1,1800,48649.0,57037.0,5.0,3.0,2.0,77.1,1.0,17.0,33.779915349235345,0,1,0,0,1,0,0,0
1,1800,28502.0,43034.0,11.0,0.0,0.0,88.76602988,0.0,8.0,36.88489409,0,1,0,0,1,0,0,0
1,2000,32700.0,46740.0,3.0,0.0,2.0,216.93333330000002,1.0,12.0,33.779915349235345,0,1,0,0,1,0,0,0
1,2000,73760.81719955898,62250.0,16.0,0.0,0.0,115.8,0.0,13.0,33.779915349235345,0,1,0,0,0,0,1,0
1,2000,22608.0,101776.04874145007,18.0,0.2545696877380046,0.4494423791821561,179.7662751900468,1.1860550458715597,21.29609620076682,33.779915349235345,0,0,0,0,0,0,0,0
1,2000,20627.0,29800.0,11.0,0.0,1.0,122.53333329999998,1.0,9.0,33.779915349235345,0,1,0,1,0,0,0,0
1,2000,45000.0,55000.0,3.0,0.0,0.0,86.06666667,2.0,25.0,33.779915349235345,0,1,0,0,1,0,0,0
0,2000,64536.0,87400.0,2.5,0.0,0.0,147.1333333,0.0,24.0,33.779915349235345,0,0,1,0,0,0,0,0
1,2100,71000.0,83850.0,8.0,0.0,1.0,123.0,0.0,16.0,33.779915349235345,0,1,0,0,1,0,0,0
1,2200,24280.0,34687.0,8.922268135904508,0.0,1.0,300.8666667,0.0,8.0,33.779915349235345,0,1,0,0,1,0,0,0
1,2200,90957.0,102600.0,7.0,2.0,6.0,122.9,1.0,22.0,33.779915349235345,0,1,1,0,0,0,0,0
1,2200,23030.0,101776.04874145007,19.0,0.2545696877380046,0.4494423791821561,179.7662751900468,1.1860550458715597,21.29609620076682,3.7113123,0,0,0,0,0,0,0,0
1,2300,28192.0,40150.0,4.5,0.0,0.0,54.6,1.0,16.0,33.779915349235345,0,1,0,0,1,0,0,0
0,2300,102370.0,120953.0,2.0,0.0,0.0,90.99253347,0.0,13.0,31.58850318,0,1,0,1,0,0,0,0
1,2300,37626.0,46200.0,3.0,0.0,1.0,122.26666670000002,1.0,14.0,33.779915349235345,0,1,0,0,1,0,0,0
1,2400,50000.0,73395.0,5.0,1.0,0.0,179.7662751900468,1.0,0.0,33.779915349235345,0,1,0,0,0,1,0,0
1,2400,28000.0,40800.0,12.0,0.0,0.0,67.2,2.0,22.0,33.779915349235345,0,1,1,0,0,0,0,0
1,2400,18000.0,101776.04874145007,22.0,0.2545696877380046,2.0,121.73333329999998,0.0,10.0,33.779915349235345,0,1,1,0,0,0,0,0
1,2400,73760.81719955898,17180.0,8.922268135904508,0.0,0.0,14.56666667,3.0,4.0,33.779915349235345,0,1,0,0,1,0,0,0
1,2400,34863.0,47471.0,12.0,0.0,0.0,70.49108003,1.0,21.0,38.26360073,0,1,1,0,0,0,0,0
0,2400,98449.0,117195.0,4.0,0.0,0.0,93.81177486,0.0,13.0,29.68182705,0,1,0,1,0,0,0,0
1,2500,15000.0,20200.0,18.0,0.0,0.0,136.06666669999998,1.0,19.0,33.779915349235345,0,1,0,0,0,0,0,0
1,2500,25116.0,36350.0,10.0,1.0,2.0,276.96666669999996,0.0,9.0,33.779915349235345,0,1,0,0,1,0,0,0
0,2500,7229.0,44516.0,8.922268135904508,0.0,0.0,208.0,0.0,12.0,33.779915349235345,0,1,0,0,0,0,0,1
0,2500,71408.0,78600.0,8.0,0.0,0.0,255.7333333,0.0,12.0,33.779915349235345,0,1,0,0,0,1,0,0
1,2800,50795.0,63100.0,26.0,2.0,15.0,145.6333333,3.0,45.0,33.779915349235345,0,1,0,0,0,0,0,1
1,2800,4000.0,60850.0,16.0,4.0,0.0,112.63333329999999,2.0,9.0,33.779915349235345,0,1,0,0,1,0,0,0
1,2900,78600.0,113000.0,6.0,1.0,0.0,165.33333330000002,2.0,26.0,33.779915349235345,1,0,0,0,0,1,0,0
0,2900,103949.0,112505.0,1.0,0.0,0.0,96.10232967,0.0,13.0,30.05113629,0,1,0,1,0,0,0,0
0,2900,104373.0,120702.0,2.0,0.0,0.0,101.5402975,0.0,13.0,29.91585903,0,1,0,1,0,0,0,0
1,2900,7750.0,67996.0,16.0,3.0,0.0,122.20466280000001,2.0,8.0,36.211348,0,1,0,0,1,0,0,0
1,2900,61962.0,70915.0,2.0,0.0,0.0,282.80165919999996,3.0,37.0,49.20639579,1,0,1,0,0,0,0,0
0,3000,104570.0,121729.0,2.0,0.0,0.0,85.8843719,0.0,14.0,32.05978327,0,1,0,1,0,0,0,0
1,3000,7000.0,20300.0,3.0,0.0,0.0,50.8,5.0,9.0,33.779915349235345,0,1,0,0,1,0,0,0
1,3000,73760.81719955898,8800.0,2.0,0.0,1.0,77.76666667,0.0,3.0,33.779915349235345,0,1,0,0,1,0,0,0
1,3000,73760.81719955898,33000.0,1.0,0.0,1.0,23.3,1.0,2.0,33.779915349235345,0,1,0,0,1,0,0,0
1,3000,119826.0,193500.0,8.0,0.0,0.0,130.0333585,0.0,27.0,33.779915349235345,0,1,0,0,1,0,0,0
1,3000,20000.0,29750.0,2.0,0.0,0.0,187.06666669999998,0.0,12.0,33.779915349235345,1,0,0,0,1,0,0,0
1,3000,73760.81719955898,14500.0,3.0,0.0,0.0,9.3,14.0,2.0,33.779915349235345,0,1,0,0,1,0,0,0
1,3000,73760.81719955898,14100.0,1.0,0.0,0.0,104.2,0.0,19.0,33.779915349235345,0,1,0,0,1,0,0,0
1,3000,47000.0,82700.0,10.0,0.0,1.0,262.1666667,5.0,26.0,33.779915349235345,0,1,0,0,0,1,0,0
1,3000,34542.0,45900.0,8.5,0.0,2.0,62.36666667,0.0,10.0,33.779915349235345,0,1,1,0,0,0,0,0
0,3000,58000.0,71500.0,10.0,0.2545696877380046,2.0,211.93333330000002,0.0,25.0,33.779915349235345,0,1,1,0,0,0,0,0
0,3000,47000.0,56400.0,21.0,0.0,0.0,201.8666667,0.0,20.0,33.779915349235345,0,1,0,1,0,0,0,0
1,3100,39589.0,36100.0,1.5,0.0,0.0,153.16666669999998,1.0,14.0,33.779915349235345,0,1,0,0,1,0,0,0
0,3100,73760.81719955898,70400.0,8.922268135904508,0.2545696877380046,0.4494423791821561,179.7662751900468,1.1860550458715597,21.29609620076682,33.779915349235345,0,0,0,0,0,0,0,0
0,3200,67848.0,74566.0,10.0,0.2545696877380046,1.0,206.4266021,0.0,25.0,40.11567728,0,1,1,0,0,0,0,0
1,3200,48603.0,61000.0,28.0,0.0,4.0,122.03333329999998,1.0,25.0,33.779915349235345,0,1,0,0,0,1,0,0
1,3200,27200.0,40834.0,8.922268135904508,0.0,0.0,298.131564,0.0,7.0,35.55353879,0,1,0,0,1,0,0,0
1,3200,54000.0,64850.0,1.0,0.0,0.0,121.86666670000001,3.0,21.0,33.779915349235345,0,1,0,0,1,0,0,0
0,3200,74864.0,87266.0,7.0,0.0,0.0,250.6312692,0.0,12.0,42.90999735,0,1,0,0,0,1,0,0
1,3200,23159.0,101776.04874145007,20.0,0.2545696877380046,2.0,117.80574779999999,0.0,9.0,0.524499215,0,1,1,0,0,0,0,0
1,3300,126541.0,134527.0,9.0,1.0,0.0,139.0,0.0,36.0,33.779915349235345,0,1,0,0,0,0,1,0
1,3300,130518.0,164317.0,9.0,0.0,6.0,192.289149,0.0,33.0,35.73055919,1,0,0,0,1,0,0,0
1,3400,37000.0,52000.0,2.0,0.0,1.0,183.2999156,0.0,6.0,33.779915349235345,0,1,0,1,0,0,0,0
1,3500,23200.0,38666.0,11.0,0.0,0.0,162.3666667,0.0,14.0,33.779915349235345,0,1,0,0,1,0,0,0
1,3500,19400.0,20494.0,5.0,0.0,0.0,95.93333333,0.0,9.0,33.779915349235345,0,1,0,0,1,0,0,0
1,3600,61584.0,61800.0,10.0,0.2545696877380046,0.4494423791821561,179.7662751900468,1.1860550458715597,21.29609620076682,33.779915349235345,0,1,0,0,0,1,0,0
